rated,turns,game_result,winner,opening_moves,estimated_time,rating_difference
0,13,0,0,5,16.0,309
1,16,2,2,4,12.0,61
1,61,3,0,3,12.0,-4
1,61,3,0,3,20.0,-15
1,95,3,0,5,32.0,54
0,5,1,1,4,10.0,248
1,33,2,0,10,10.0,97
0,9,2,2,5,35.0,-695
1,66,2,2,6,15.0,47
1,119,3,0,4,10.0,172
0,60,2,2,3,32.0,-555
0,31,2,2,2,8.0,-226
0,31,3,0,8,25.0,-47
0,43,2,2,7,25.0,47
0,52,2,2,8,25.0,-47
0,66,3,2,8,26.0,47
0,101,2,2,5,25.0,-206
0,25,2,0,2,11.0,406
0,14,2,2,6,25.0,-582
0,17,2,0,3,18.0,406
1,36,2,0,4,10.0,201
1,13,2,2,3,10.0,-310
1,69,3,0,4,17.0,-141
1,43,2,0,8,17.0,746
1,54,3,2,4,17.0,290
1,53,2,2,4,17.0,-100
1,66,3,2,4,17.0,-71
1,64,2,2,3,17.0,322
1,64,3,2,6,17.0,198
1,54,2,0,3,17.0,184
0,21,2,2,6,17.0,-481
0,11,2,0,3,18.0,447
1,19,2,2,4,10.0,-856
1,28,2,0,10,10.0,591
0,22,2,2,2,15.0,-522
0,37,2,0,17,15.0,522
0,34,2,0,3,50.0,1471
0,32,1,1,10,37.0,229
0,71,2,2,3,8.0,263
0,30,2,0,3,30.0,522
0,41,2,0,3,20.0,522
0,49,2,0,3,15.0,522
0,7,2,0,3,10.0,365
0,5,2,2,3,10.0,-522
0,7,2,0,4,10.0,522
0,53,3,0,2,10.0,-522
0,36,2,2,2,10.0,522
1,8,2,0,2,16.0,359
1,28,2,0,5,10.0,34
1,30,2,2,8,10.0,-28
1,44,2,2,5,10.0,163
1,29,2,0,6,10.0,59
1,37,2,2,3,15.0,-372
1,49,2,0,2,16.0,-6
1,32,2,2,2,16.0,-27
1,25,2,0,6,16.0,358
1,40,3,2,2,12.0,50
1,39,2,0,2,15.0,181
1,57,2,0,2,22.0,-35
1,78,2,2,3,32.0,-54
1,61,2,0,3,18.0,83
1,44,2,2,3,23.0,228
1,62,3,2,2,23.0,109
1,87,3,0,2,23.0,27
1,54,3,2,7,23.0,-381
1,54,2,2,3,18.0,48
1,37,2,0,5,18.0,256
1,50,2,0,2,18.0,42
1,131,2,0,5,30.0,-157
1,48,2,0,3,30.0,141
1,47,2,2,5,18.0,-526
1,64,3,2,3,18.0,208
1,61,2,0,3,18.0,116
1,57,3,0,5,18.0,-131
1,51,2,0,2,18.0,-28
1,58,3,2,3,18.0,-294
1,71,2,0,3,18.0,129
1,114,2,0,1,18.0,10
1,39,2,0,11,18.0,70
1,20,2,2,5,18.0,-50
1,48,2,2,3,30.0,17
1,34,3,2,3,27.0,-139
1,51,2,0,5,27.0,121
1,69,2,0,3,27.0,53
1,28,2,0,4,27.0,143
1,62,2,2,5,27.0,-331
1,62,3,2,4,27.0,-401
1,85,3,0,2,27.0,-271
1,38,2,0,5,27.0,56
0,14,2,0,8,45.0,0
1,113,1,1,4,15.0,31
1,62,2,0,4,15.0,-14
1,101,2,0,6,10.0,203
1,75,0,0,7,10.0,-131
1,135,3,0,11,10.0,222
1,81,0,0,5,10.0,338
1,46,2,2,6,10.0,-71
1,70,3,2,3,10.0,-131
1,39,2,0,10,10.0,5
1,91,2,0,7,10.0,-29
1,137,0,0,5,10.0,259
1,46,2,2,9,10.0,9
1,18,2,2,9,10.0,118
1,28,2,2,5,10.0,373
1,40,2,2,5,10.0,35
1,111,3,0,5,15.0,-66
1,54,3,2,6,10.0,11
1,33,2,0,3,10.0,-102
1,90,2,2,5,10.0,62
1,90,2,2,7,10.0,116
